source;target;weight
thegrim123321;brainiac007;1
thegrim123321;danilo1961;1
piechess97;thegrim123321;1
thegrim123321;merthy70;1
thekingdomcome;thegrim123321;1
rookreversal;thegrim123321;1
thegrim123321;ranie123;1
arrigo;thegrim123321;1
thegrim123321;tecnoch;1
thegrim123321;dantesmontecristo;1
thegrim123321;gallosantoss;1
morficle;thegrim123321;1
annael88;thegrim123321;1
thegrim123321;ziogasparo14;1
thegrim123321;tcgil;1
andre94;thegrim123321;1
lanas2007;thegrim123321;1
thegrim123321;onafets26;1
shivcool;thegrim123321;1
thegrim123321;batuhh;1
thegrim123321;an73r05;1
eideral;krishubhi;1
krishubhi;eideral;1
myalcin64;eideral;1
tutubelezza;eideral;1
eideral;fva;1
eideral;maumau62;1
maumau62;eideral;1
eideral;arebest95;1
au118;eideral;1
abel4865;eideral;1
eideral;abel4865;1
tca1004;eideral;1
pkgirpade;eideral;1
eideral;atorius;1
pablocas;eideral;1
tabellaria;grubear;1
tabellaria;rangelelbano;1
f2f;tabellaria;1
playforpleasure;tabellaria;1
tabellaria;mattieuw2;1
mattieuw2;tabellaria;1
tabellaria;snowden;1
sombragris;tabellaria;1
tabellaria;blackphish;1
tabellaria;jabar72;1
jabar72;tabellaria;1
little---a;tabellaria;1
tabellaria;little---a;1
pasch0s;tabellaria;1
nadanadora;xad55toque;1
nadanadora;xtreh;1
vpull9;nadanadora;1
ramzaid;nadanadora;1
mejjes;nadanadora;1
nadanadora;qaisahleyorof;1
nadanadora;googol100;1
googol100;nadanadora;1
nadanadora;googol100;1
nadanadora;gatorman;1
corvusossifragus;nadanadora;1
doom12384;ramirorldn;1
doom12384;vektor-mw;1
doom12384;eze33;1
quarks_sparks;doom12384;1
lagos16;doom12384;1
pepe100;doom12384;1
runmael;doom12384;1
nitegazer;doom12384;1
pipppone;doom12384;1
dimalesh;doom12384;1
doom12384;dimalesh;1
dimalesh;doom12384;1
augustbecarre;doom12384;1
doom12384;jejeh;1
jejeh;doom12384;1
doom12384;jejeh;1
raavi;doom12384;1
ernestillo;bwalmer;1
bwalmer;ajaysharma261253;1
atilioss;bwalmer;1
bwalmer;yura_kudelia_12;1
spendius;bwalmer;1
tfeng;wahana81;1
wahana81;tfeng;1
tfeng;ilkayus;1
tfeng;thesmallbang;1
thesmallbang;tfeng;1
tfeng;mikeu;1
famiss11;tfeng;1
bishopkerry01;tfeng;1
tfeng;bishopkerry01;1
vineetg101;tfeng;1
tfeng;kei0075;1
tfeng;facurezzo;1
facurezzo;tfeng;1
tfeng;wahidmahmom90;1
toniors;tfeng;1
tfeng;marcel55;1
locomotora;tfeng;1
tfeng;locomotora;1
tfeng;ewama;1
ewama;tfeng;1
marcospe1964;tfeng;1
fox22634;tfeng;1
tfeng;traverru;1
tfeng;tmanu;1
tfeng;mstelles;1
micmeta;tfeng;1
shafer24;tfeng;1
ironboy;tfeng;1
tfeng;ironboy;1
hetismogelijk;tfeng;1
bomardan;tfeng;1
tfeng;rmorais23;1
tfeng;eyany;1
eyany;tfeng;1
dandisd;tfeng;1
tfeng;agusfil;1
yalicapkini;tfeng;1
guber1962;tfeng;1
tfeng;gardoim;1
tarekjrd;tfeng;1
rajapirka;tienc12345;1
tienc12345;elham1;1
albinas;tienc12345;1
valmasia3;tienc12345;1
tienc12345;dmitriy8888;1
joselito-carnaval;arjunshenoyk;1
rustam9;iamasd1;1
halma;rustam9;1
rustam9;b3nszy;1
rustam9;bohne;1
cris865;rustam9;1
rustam9;granham;1
bilabrin;rustam9;1
rustam9;fiksse;1
raza00;rustam9;1
rustam9;juniohispano;1
rustam9;rainbowstream;1
rustam9;madmadge;1
rustam9;brainsurgery;1
gabriel_ml;rustam9;1
gus247;rustam9;1
rustam9;cromanoide;1
rustam9;ck666;1
ck666;rustam9;1
rustam9;davidmcdavidface;1
rustam9;danst3rs;1
sergeares;rustam9;1
rustam9;mijndochterenik2151;1
olaih85;wk2407;1
spikyturtle;josepoliutla;1
lodowy;spikyturtle;1
spikyturtle;vitruvio;1
master22ar;spikyturtle;1
rfabian;spikyturtle;1
spikyturtle;rfabian;1
rfabian;spikyturtle;1
spikyturtle;chess133;1
spikyturtle;zuzino;1
senormontypants;jutton1;1
pllm;jutton1;1
ahmedham;jutton1;1
jutton1;ahmedham;1
jutton1;febozn;1
agabek1948;jutton1;1
deekay17;jutton1;1
jutton1;deekay17;1
deekay17;jutton1;1
cagliostro97;metaxas;1
cagliostro97;gennai;1
cagliostro97;fora-franc;1
putin55;cagliostro97;1
qc-patzer;cagliostro97;1
robbm;cagliostro97;1
andrea78;energique;1
sumipcg;energique;1
jonikss;energique;1
rolando6;energique;1
mahdifoladi;energique;1
energique;transporter7506;1
energique;p4i2p0e;1
adcz;sreeraman;1
gardydlshad;kyanh;1
sergipechess;kyanh;1
kyanh;alexharut;1
kyanh;almanya_online;1
erhancn;kyanh;1
kyanh;sabir747;1
hilarious2022;kyanh;1
kyanh;nasa179;1
ahmadsan;kyanh;1
petrinja1;kyanh;1
kyanh;ashis_ch;1
luckynrone;kyanh;1
kyanh;trippinboris;1
kyanh;fivetimes;1
sadecebeyaz;kyanh;1
samba_rei;kyanh;1
manikandan_25;kyanh;1
nandito_messi;kyanh;1
kyanh;nightshade7;1
marianocharly;kyanh;1
kyanh;tossinov;1
martinlutherking;kyanh;1
kyanh;timur-30;1
mat-chess;kyanh;1
kyanh;vikingo31;1
kyanh;avonskillstreet;1
kyanh;herbertfj;1
gucanni;kyanh;1
nickm3;kyanh;1
kyanh;checkerssux;1
jgan91;kyanh;1
jobwoge;kyanh;1
kyanh;stratus22;1
bud4la;fischerdipper;1
fischerdipper;bud4la;1
bud4la;fischerdipper;1
puppoo1981;fischerdipper;1
george_35;fischerdipper;1
fischerdipper;george_35;1
fischerdipper;dubac___3;1
fischerdipper;hooponopono;1
fischerdipper;underhman;1
fischerdipper;koepkos;1
koepkos;fischerdipper;1
fischerdipper;aloe78;1
aloe78;fischerdipper;1
adhen;fischerdipper;1
fischerdipper;adhen;1
adhen;fischerdipper;1
fischerdipper;adhen;1
diazbrothers;fischerdipper;1
fischerdipper;ffuentes90;1
ffuentes90;fischerdipper;1
coco31;fischerdipper;1
fischerdipper;coco31;1
coco31;fischerdipper;1
fischerdipper;coco31;1
coco31;fischerdipper;1
fischerdipper;coco31;1
golden06;fischerdipper;1
silviumd;fischerdipper;1
spinola01;fischerdipper;1
fischerdipper;spinola01;1
spinola01;fischerdipper;1
fischerdipper;karabas;1
fischerdipper;leviatoff;1
mb1981;fischerdipper;1
fischerdipper;elio12;1
elio12;fischerdipper;1
waldi65;fischerdipper;1
fischerdipper;dinnei;1
dinnei;fischerdipper;1
fischerdipper;dinnei;1
fischerdipper;koljan;1
koljan;fischerdipper;1
fischerdipper;koljan;1
fischerdipper;funracer_at;1
tensors;blackhat46;1
fabioamsouza;tensors;1
tensors;piedperson;1
tensors;shelob;1
grafy;tensors;1
tensors;ivanchenko-andriy;1
yorashi;tensors;1
tensors;montex;1
sdw207;tensors;1
tensors;egroka;1
tensors;facuuu;1
czarek77;tensors;1
tensors;fischerfisch;1
nf1951;tensors;1
spetsnaz_gm;tensors;1
tensors;thinkingmanga63;1
ineedaname;tensors;1
tensors;fran_1991;1
tensors;gambeet21;1
tensors;djjohnson;1
pearicetea;tensors;1
tensors;firstthebest;1
tensors;olesam;1
olesam;tensors;1
anotherchessplayer1;baygonv;1
aig7;anotherchessplayer1;1
anotherchessplayer1;aig7;1
eltiago;anotherchessplayer1;1
blinskey;anotherchessplayer1;1
bassim;hill_j;1
stonedragon;hill_j;1
hill_j;piotrpiotr;1
hill_j;armo96;1
beef_cake;hill_j;1
hill_j;justin2718;1
plahbrogan;hill_j;1
hill_j;arwiz;1
hill_j;vwhite;1
virgil777;hill_j;1
gabofd;hill_j;1
minigunexplosive;hill_j;1
hill_j;martan1208;1
hill_j;smashtoblack;1
tomplfr;hill_j;1
plengkung;hill_j;1
hill_j;menorca666;1
hill_j;zaraki2103;1
agarahman;hill_j;1
leon_free;hill_j;1
hill_j;bzhvarik;1
calvelame;hill_j;1
joaomatz;hill_j;1
hill_j;elcid_barrett;1
hill_j;srspanks;1
allstar321;hill_j;1
hill_j;dezinto;1
hill_j;tricky-trojan;1
killuwatts;hill_j;1
hill_j;wazik;1
czungun;hill_j;1
trastindi;hill_j;1
hill_j;doctormerp;1
hill_j;spi2rone;1
wolfevelyn;hill_j;1
hill_j;fercab777;1
karfedericol;hill_j;1
hill_j;karfedericol;1
six_moves_ahead;hill_j;1
hill_j;mogadorlionne;1
hill_j;safran25;1
hill_j;skipskipskop;1
skipskipskop;hill_j;1
brodskay;roman12342005;1
roman12342005;rindu38;1
thebadfish;roman12342005;1
roman12342005;thebadfish;1
thebadfish;roman12342005;1
roman12342005;thebadfish;1
gg_easytobeatme_yt;roman12342005;1
sanmarco;roman12342005;1
tolia;roman12342005;1
roman12342005;gholamreza1341;1
chess_legend_rus;roman12342005;1
roman12342005;cocomoko;1
soltan1800;roman12342005;1
roman12342005;selami011235;1
roman12342005;kingscrusher-youtube;1
kingpong;roman12342005;1
roman12342005;dmekro;1
lyckyfisher;roman12342005;1
alaindubleu;roman12342005;1
milanello;roman12342005;1
manavalam2;roman12342005;1
roman12342005;chessmaste;1
roman12342005;bohlool;1
decky84;roman12342005;1
elcortez;roman12342005;1
roman12342005;aldairrodriguez;1
sheshengy;total_chess;1
total_chess;mr_pablo;1
mr_pablo;total_chess;1
total_chess;mr_pablo;1
mr_pablo;total_chess;1
megatirfan;total_chess;1
total_chess;denapoli;1
superiority;total_chess;1
total_chess;superiority;1
caernarfon;snaek161616;1
snaek161616;a_raccoon;1
a_raccoon;snaek161616;1
snaek161616;a_raccoon;1
snaek161616;caernarfon;1
snaek161616;labg141;1
vinhancock;snaek161616;1
caernarfon;snaek161616;1
alihasanzadeh;snaek161616;1
diz_stack;snaek161616;1
caernarfon;snaek161616;1
snaek161616;caernarfon;1
regicidal2;snaek161616;1
alkeal;dr_perdyllo;1
joydivisions;alkeal;1
alkeal;jordanson;1
gr8_m8_m8_im_ir8;karo1972;1
ferrojimenez;gr8_m8_m8_im_ir8;1
gr8_m8_m8_im_ir8;schachlerno;1
gr8_m8_m8_im_ir8;samangan20;1
nimaaa73;gr8_m8_m8_im_ir8;1
antonio48;gr8_m8_m8_im_ir8;1
gr8_m8_m8_im_ir8;tiberius64;1
akutt52y;gr8_m8_m8_im_ir8;1
ntam;prabhakarchand1;1
juddah;ntam;1
ntam;twizzcliff;1
ca-va-lier;ntam;1
ntam;ca-va-lier;1
ntam;realmadrid69;1
dmitry1111;ntam;1
carbon752;ntam;1
chilon;chesscarl;1
loebas;chesscarl;1
thelordoftheboard;chesscarl;1
lebbeusz2450;chesscarl;1
chesscarl;christopho;1
chesscarl;kiterdekel;1
chesscarl;a_b_d_o;1
angel2006;chesscarl;1
chesscarl;angel2006;1
aca021;chesscarl;1
rigoberto_22;chesscarl;1
heisenberg3;chesscarl;1
chesscarl;mario-panagiotis;1
vchess4;chesscarl;1
