1;65536;20;40;1
2;2097152;38;195;1
3;67108864;777;4955;1
4;1048576;27;95;1
5;2097152;26;177;1
6;524288;7;48;1
7;8388608;113;814;1
8;32768;0;5;1
9;32768;1;4;1
10;32768;1;4;1
11;524288;9;59;1
12;524288;9;58;1
13;524288;8;59;1
14;131072;2;18;1
15;4194304;69;390;1
16;32768;0;4;1
17;33554432;447;2716;1
18;67108864;671;4699;1
19;8388608;88;555;1
20;131072;2;9;1
21;33554432;332;2396;1
22;65536;1;5;1
23;262144;2;18;1
24;33554432;338;2303;1
25;4194304;42;280;1
26;67108864;707;4467;1
27;262144;6;20;1
28;8388608;83;575;1
29;67108864;655;4459;1
30;131072;5;10;1
31;4194304;41;281;1
32;4194304;43;284;1
33;67108864;657;4420;1
34;4194304;48;281;1
35;2097152;21;141;1
36;131072;1;10;1
37;67108864;664;4465;1
38;32768;0;3;1
39;1048576;13;73;1
40;4194304;42;292;1
41;2097152;21;145;1
42;33554432;340;2249;1
43;8388608;87;555;1
44;1048576;10;71;1
45;67108864;668;4512;1
46;2097152;23;142;1
47;67108864;662;4465;1
48;33554432;336;2269;1
49;131072;1;10;1
50;262144;3;18;1
1;8388608;144;604;2
2;131072;2;22;2
3;4194304;54;219;2
4;4194304;47;191;2
5;262144;2;12;2
6;4194304;40;246;2
7;1048576;10;36;2
8;32768;0;4;2
9;8388608;79;377;2
10;4194304;38;123;2
11;1048576;9;42;2
12;131072;1;10;2
13;131072;1;7;2
14;4194304;43;127;2
15;33554432;321;1264;2
16;2097152;22;72;2
17;67108864;636;4018;2
18;131072;3;13;2
19;4194304;52;272;2
20;65536;1;5;2
21;1048576;14;56;2
22;16777216;214;869;2
23;4194304;52;297;2
24;67108864;719;3296;2
25;65536;0;4;2
26;131072;2;9;2
27;16777216;175;858;2
28;16777216;170;982;2
29;16777216;171;569;2
30;524288;6;29;2
31;8388608;94;388;2
32;524288;6;29;2
33;16777216;191;902;2
34;8388608;87;395;2
35;65536;1;4;2
36;262144;3;10;2
37;524288;5;23;2
38;32768;0;3;2
39;65536;1;3;2
40;32768;0;3;2
41;262144;2;12;2
42;131072;2;5;2
43;32768;0;3;2
44;4194304;44;220;2
45;2097152;25;96;2
46;4194304;45;226;2
47;1048576;11;55;2
48;8388608;91;473;2
49;524288;6;30;2
50;524288;6;32;2
1;1048576;41;181;3
2;33554432;464;1970;3
3;8388608;113;395;3
4;67108864;845;3888;3
5;16777216;256;925;3
6;33554432;427;1712;3
7;67108864;758;3010;3
8;65536;0;13;3
9;524288;9;58;3
10;1048576;11;46;3
11;67108864;732;3028;3
12;33554432;337;1668;3
13;16777216;173;724;3
14;8388608;94;327;3
15;262144;3;17;3
16;524288;6;31;3
17;16777216;190;710;3
18;16777216;189;1078;3
19;33554432;338;1573;3
20;16777216;176;855;3
21;32768;0;4;3
22;1048576;11;59;3
23;33554432;352;1682;3
24;33554432;337;1598;3
25;131072;2;8;3
26;4194304;42;128;3
27;524288;6;39;3
28;2097152;23;113;3
29;131072;1;7;3
30;67108864;703;4179;3
31;1048576;12;39;3
32;131072;1;7;3
33;8388608;85;424;3
34;4194304;45;224;3
35;2097152;23;81;3
36;65536;0;4;3
37;262144;3;13;3
38;524288;6;23;3
39;32768;0;8;3
40;2097152;24;81;3
41;262144;3;14;3
42;262144;2;17;3
43;262144;3;21;3
44;16777216;191;788;3
45;524288;5;19;3
46;8388608;90;407;3
47;131072;2;6;3
48;524288;5;26;3
49;33554432;367;1792;3
50;67108864;667;3230;3
1;262144;25;54;4
2;2097152;36;66;4
3;262144;3;32;4
4;65536;1;33;4
5;2097152;22;133;4
6;33554432;407;1451;4
7;8388608;86;297;4
8;32768;0;6;4
9;16777216;181;617;4
10;65536;1;10;4
11;33554432;312;950;4
12;65536;1;19;4
13;4194304;49;195;4
14;262144;2;20;4
15;1048576;10;52;4
16;524288;6;23;4
17;2097152;21;69;4
18;2097152;21;114;4
19;65536;0;7;4
20;67108864;863;3490;4
21;32768;1;4;4
22;131072;2;13;4
23;32768;0;9;4
24;67108864;740;3644;4
25;2097152;25;73;4
26;4194304;45;190;4
27;4194304;46;157;4
28;67108864;714;2706;4
29;1048576;13;34;4
30;1048576;11;52;4
31;2097152;21;69;4
32;67108864;704;2995;4
33;65536;0;13;4
34;32768;1;9;4
35;32768;0;15;4
36;262144;3;21;4
37;524288;6;22;4
38;262144;3;13;4
39;262144;3;15;4
40;33554432;389;1585;4
41;262144;3;10;4
42;8388608;88;396;4
43;524288;6;23;4
44;65536;1;15;4
45;16777216;191;846;4
46;1048576;11;30;4
47;262144;3;11;4
48;2097152;22;143;4
49;524288;5;30;4
50;4194304;47;207;4
